TweetId,Text,Username,Language,Hashtags,Cords,ReplyCount,RetweetCount,LikeCount,QuoteCount,Source,Media,Lat,Lon,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1630592819868971008,18 political party leaders who are members of IPAC have gathered at the National Collation Center to express their support for INEC and demand that the remaining election results be collated and announced. #electionresults2023 #NigeriaElections2023,cavilT,en,"['electionresults2023', 'NigeriaElections2023']","Coordinates(longitude=-83.935379, latitude=33.80308)",1,1,1,0,Twitter for iPhone,,33.80308,-83.935379,15,2023,2,February,28,Tuesday,9,2023-02-28,15:36:37
1630592793352568832,"All #Nigerians including those that didn't vote particularly in #Lagos are interested in the release of #Presidentialelectionresults2023.
The arguments of #PDP and #LP viz-a-viz #APC are not important. #INEC should go ahead and release the rest of the #ElectionResults_ period.",jideyusuf,en,"['Nigerians', 'Lagos', 'Presidentialelectionresults2023', 'PDP', 'LP', 'APC', 'INEC', 'ElectionResults_']","Coordinates(longitude=3.2131467, latitude=6.4278856)",1,1,0,0,Twitter for Android,,6.4278856,3.2131467,15,2023,2,February,28,Tuesday,9,2023-02-28,15:36:31
1630592722628214786,"Why Inec Dey do like mumu ffs
Who Dey control them😧",Another_bolanle,en,,"Coordinates(longitude=3.198942, latitude=6.4826762)",0,0,1,0,Twitter for iPhone,,6.4826762,3.198942,15,2023,2,February,28,Tuesday,9,2023-02-28,15:36:14
1630592670769790979,"This is the girl INEC uploaded as Presidential election result for Ekiti @inecnigeria 
@PeterObi 
@NgLabour https://t.co/77Wug6uT7D",DONLIFE2011,en,,"Coordinates(longitude=6.6269298, latitude=5.2050072)",0,2,4,0,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEHXYbWYAA0EbI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEHXYbWYAA0EbI?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqEHX_OXsAE2hRU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEHX_OXsAE2hRU?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqEHYtoXsAE0xum?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEHYtoXsAE0xum?format=jpg&name=orig', altText=None)]",5.2050072,6.6269298,15,2023,2,February,28,Tuesday,9,2023-02-28,15:36:02
1630592653489324032,"Bola Tinubu DID NOT GET 25% in FCT. Bola Tinubu BRIBED INEC to Rig the Election in all Regions. I will say it again, Tinubu WILL NOT BE The President. #Cancel2023PresidentialElection",Govshina,en,['Cancel2023PresidentialElection'],"Coordinates(longitude=-106.645646, latitude=25.837092)",3,6,15,1,Twitter for iPhone,,25.837092,-106.645646,15,2023,2,February,28,Tuesday,9,2023-02-28,15:35:58
1630592631322320898,"Mexicans demand free and fair elections. Not a single window was broken, just citizens defending the electoral institute against the president’s wishes of undoing it. This is how real democrats make their voices heard.

LP obidatti inec Tinubu https://t.co/hf44ZQFVF4",Timi_Chang,en,,"Coordinates(longitude=8.8337107, latitude=9.8581086)",0,2,1,0,Twitter for iPhone,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1630592587676434433/pu/img/m5GV77EtcKf5zVpX.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1630592587676434433/pu/vid/320x564/8WymD6dkeyXFQ0sT.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1630592587676434433/pu/vid/480x848/veqdxAvD9sDDIANn.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1630592587676434433/pu/pl/WECaKrjVE7o1aJt2.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=17.157, views=11, altText=None)]",9.8581086,8.8337107,15,2023,2,February,28,Tuesday,9,2023-02-28,15:35:52
1630592433917505536,"@_dinomelaye Inec has betrayed Nigeria in everything, they valued bribe than the people they represent and their work.",nnadi_junior,en,,"Coordinates(longitude=6.7419026, latitude=6.0700437)",0,0,0,0,Twitter for Android,,6.0700437,6.7419026,15,2023,2,February,28,Tuesday,9,2023-02-28,15:35:05
1630591852058488832,INEC &amp; APC’s black magic,KaluChika8,en,,"Coordinates(longitude=27.9829939, latitude=-26.1362658)",0,0,0,0,Twitter for iPhone,,-26.1362658,27.9829939,15,2023,2,February,28,Tuesday,9,2023-02-28,15:32:47
1630590447419629572,"OUR NEXT GENERATION MUST KNOW THIS FACE AND WHAT HE DID IN OUR QUEST FOR DEMOCRACY

PDP LP MOHAMMED YAKUBU BUHARI APC INEC FRAUD CANCEL ELECTION 
25% FCT OBI WINS TAKE BACK NIGERIA https://t.co/DZ3M4pyQGc",Streetkulture_B,en,,"Coordinates(longitude=3.198942, latitude=6.4826762)",0,0,0,0,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEFXU7WAAEyf5W?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEFXU7WAAEyf5W?format=jpg&name=orig', altText=None)]",6.4826762,3.198942,15,2023,2,February,28,Tuesday,9,2023-02-28,15:27:12
1630589918438105091,"@petodinice @SaharaReporters Thinking....
Did INEC deny them?",ahmadu5_isah,en,,"Coordinates(longitude=7.3566227, latitude=10.4252617)",0,0,0,0,Twitter for Android,,10.4252617,7.3566227,15,2023,2,February,28,Tuesday,9,2023-02-28,15:25:06
